variable_investment_cost,battery_capacity,rated_power,total_cost
400,9.782783710947875,12.429660053957353,2505.6211258906933
410,9.457976252579382,12.264972426317115,2515.1691045045936
420,9.42946556095215,12.168981043271872,2524.60937128323
430,9.385470110583565,12.020854712848307,2534.016764332171
440,9.333121774957508,11.84460542354445,2543.382725644277
445,9.333121774957508,11.84460542354445,2548.049286531757
450,9.319137511253903,11.79752242635415,2552.710560880853
455,0.0,7.459982968717335,2555.348723114745
456,0.0,7.459982968717335,2555.3487231147456
460,0.0,7.459982968717335,2555.348723114746
470,0.0,7.459982968717335,2555.348723114745
